Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,CAD,LinkToPart,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing UPC,Dimension H,Dimension H2,Dimension J1,Dimension J2,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Dimension K
LSE103BXHSAFQ,1 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafq,1 3/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LSE103HX,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQ,1 3/16 in,Felt Type ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafq,1 3/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LSE103HR,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BXHSAFQKPS,1 3/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafqkps,1 3/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LSE103HX,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQKPS,1 3/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafqkps,1 3/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LSE103HR,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BXHSAFQRSS,1 3/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafqrss,1 3/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LSE103HX,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQRSS,1 3/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafqrss,1 3/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LSE103HR,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BXHSAFQHTPS,1 3/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafqhtps,1 3/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LSE103HX,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQHTPS,1 3/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafqhtps,1 3/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LSE103HR,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BXHSAFQATL,1 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafqatl,1 3/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LS1HXTL,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.4 in/86 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQATL,1 3/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafqatl,1 3/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LS1HRTL,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.4 in/86 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BXHSAFQFS,1 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103bxhsafqfs,1 3/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BX,LSE103HX,SAFQ01-2B,013992057839,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE103BRHSAFQFS,1 3/16 in,Felt Type ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse103brhsafqfs,1 3/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE103BR,LSE103HR,SAFQ01-2B,013992057785,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE104BXHSAFQ,1 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,https://cad.timken.com/item/split-cylindrical-roller-bearing-light-series-plum/split-cylindrical-roller-bearing-light-series-safq/lse104bxhsafq,1 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE104BX,LSE104HX,SAFQ01-2B,013992025333,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
